Museum,Loan,Loon,Loom,Noun,/m/
Mote,Node,Moon,Nude,Noun,/m/
Boom,Boon,Spoon,Broom,Noun,/m/
Person,Nation,Album,Prism,Noun,/m/
Mule,Nostril,Mole,Nozzle,Noun,/m/
Tin,Tent,Team,Tom,Noun,/n/
Vacuum,Magnum,Coupon,Bum,Noun,/n/
Fan,Dam,Yam,Bacon,Noun,/n/
Combine,Dime,Tine,Lime,Noun,/n/
Bean,Bun,Beam,Bum,Noun,/n/
Scene,Sun,Seam,Sum,Noun,/n/
Forum,Album,Phone,Tailbone,Noun,/m/
Barn,Bin,Balm,Drum,Noun,/n/
Horn,Hen,Worm,Swarm,Noun,/n/
Platform,Conform,Unicorn,Thorn,Noun,/m/
Mild,Nice,Mint,Nipped,Adjective,/m/
Warmed,Shorned,Scorned,Formed,Adjective,/m/
Grim,Trim,Fringed,Dinge,Adjective,/m/
Meek,Near,Neat,Mere,Adjective,/m/
Mere,Near,Nice,Meek,Adjective,/m/
Clean,Green,Dreamy,Supreme,Adjective,/n/
Mean,Slim,Gleamy,Prim,Adjective,/n/
Numb,Done,Plum,Fun,Adjective,/n/
Nasty,Mad,Noisy,Maxed,Adjective,/n/
Stern,Firm,Warm,Torn,Adjective,/n/
Naughty,Mighty,Merry,Noisy,Adjective,/n/
Monstrous,Marvelous,Nefarious,Nebulous,Adjective,/m/
Optimistic,Hedonistic,Nationalistic,Realistic,Adjective,/m/
Moody,Smooth,Tuned,Ballooned,Adjective,/m/
Outspoken,Premium,Medium,Brazen,Adjective,/n/
